ethics_first_name,ethics_last_name,contribution_first_name,first_name_similarity,,Dept/Board,district,Party,Amount,original_url,ammend_url,dates,File Year
NA,Ozols,Harry,NA,,Senate,13,Libertarian,220.83,NA,NA,NA,NA
NA,Rhoads,Karl,NA,,Senate,13,Democrat,125937.62,NA,NA,NA,NA
NA,Tam,Rodney,NA,,Senate,13,Republican,4989.15,NA,NA,NA,NA
NA,Campagna,Carl,NA,,Senate,14,Democrat,5213.37,NA,NA,NA,NA
NA,Combs,Sandra,NA,,House,14,Republican,28450,NA,NA,NA,NA
Donna Mercado,Kim,Donna,38.46%,,Senate,14,Democrat,125850,http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11081.pdf,,01/27/2016,2016
NA,Nakamura,Nadine,NA,,House,14,Democrat,38802.41,NA,NA,NA,NA
NA,Rosenstiel,Fern,NA,,House,14,Democrat,8488.95,NA,NA,NA,NA
NA,Oi,Thomas,NA,,House,15,Democrat,6700,NA,NA,NA,NA
James K.,Tokioka,James,62.50%,,House,15,Democrat,46150,http://files.hawaii.gov/ethics/disc/2016/FinLong_8526.pdf,,01/11/2016,2016
Glenn Satoru,Wakai,Glenn,41.67%,,Senate,15,Democrat,67079.52,http://files.hawaii.gov/ethics/disc/2016/FinLong_8944.pdf;http://files.hawaii.gov/ethics/disc/2016/FinShort_11426.pdf,,02/01/2016;08/01/2016,2016
NA,Franks,Victoria,NA,,House,16,Republican,3139.31,NA,NA,NA,NA
Breene Y.,Harimoto,Breene,66.67%,,Senate,16,Democrat,6595,http://files.hawaii.gov/ethics/disc/2016/FinLong_8878.pdf,,01/31/2016,2016
Daynette S.P.,Morikawa,Daynette,61.54%,,House,16,Democrat,27050,http://files.hawaii.gov/ethics/disc/2016/FinLong_8799.pdf,http://files.hawaii.gov/ethics/disc/2016/FinShort_11303.pdf,01/29/2016;07/07/2016,2016
Clarence K.,Nishihara,Clarence,72.73%,,Senate,17,Democrat,12800,http://files.hawaii.gov/ethics/disc/2016/FinLong_8484.pdf,,01/06/2016,2016
NA,Ross,Karlen,NA,,House,17,Democrat,6098,NA,NA,NA,NA
NA,Stump,Christopher,NA,,House,17,Democrat,534.67,NA,NA,NA,NA
Gene R.,Ward,Gene,57.14%,,House,17,Republican,36851,http://files.hawaii.gov/ethics/disc/2016/FinLong_8646.pdf,,01/24/2016,2016
Mark Jun,Hashem,Mark,50.00%,,House,18,Democrat,27080,http://files.hawaii.gov/ethics/disc/2016/FinLong_8871.pdf,,01/30/2016,2016
Michelle N.,Kidani,Michelle,72.73%,,Senate,18,Democrat,102494.62,http://files.hawaii.gov/ethics/disc/2016/FinLong_8932.pdf,,02/01/2016,2016
NA,Bischoff,Stephen,NA,,House,19,Republican,200,NA,NA,NA,NA
William Calip,Espero,William,53.85%,,Senate,19,Democrat,49045,http://files.hawaii.gov/ethics/disc/2016/FinLong_8784.pdf,,01/28/2016,2016
NA,Fevella,Kurt,NA,,Senate,19,Republican,2200,NA,NA,NA,NA
NA,Fidelibus,Christopher,NA,,Senate,19,Republican,5150,NA,NA,NA,NA
NA,Higa,Anthony,NA,,House,19,Libertarian,6600,NA,NA,NA,NA
Bertrand Y.,Kobayashi,Bertrand,72.73%,,House,19,Democrat,11600,http://files.hawaii.gov/ethics/disc/2016/FinLong_8645.pdf,,01/24/2016,2016
NA,Allen,Julia,NA,,House,20,Republican,4487,NA,NA,NA,NA
Gerald Michael,Gabbard,Mike,21.43%,,Senate,20,Democrat,38356.2,http://files.hawaii.gov/ethics/disc/2016/FinLong_8651.pdf,,01/25/2016,2016
